age,pdays,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_code,marital_code,education_code,housing_code,loan_code,contact_code,poutcome_code,day_of_week_code,month_code
30,999,3,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,2,3,0,2,0,1,1,3
51,999,1,0,1.4,93.444,-36.1,4.965,5228.1,4,1,3,0,0,0,1,4,1
45,999,2,0,-2.9,92.963,-40.8,1.215,5076.2,0,1,2,2,0,1,1,1,4
30,999,12,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,9,2,3,2,0,0,1,4,6
31,999,9,0,1.4,93.444,-36.1,4.965,5228.1,0,1,6,0,0,0,1,1,1
41,999,1,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,1,1,0,0,0,1,1,2,4
38,999,1,0,1.1,93.994,-36.4,4.857,5191.0,11,0,3,2,0,1,1,1,6
47,999,1,0,-2.9,92.469,-33.6,1.072,5076.2,3,1,1,0,2,0,1,2,3
69,999,2,0,-2.9,92.963,-40.8,1.26,5076.2,2,1,3,0,0,0,1,4,4
26,999,1,0,-1.1,94.601,-49.5,0.9590000000000001,4963.6,9,2,6,0,0,0,1,4,8
41,999,2,0,1.4,93.91799999999999,-42.7,4.963,5228.1,6,0,5,0,0,0,1,0,3
36,999,1,0,1.4,94.465,-41.8,4.962,5228.1,1,2,3,2,0,1,1,4,4
31,999,2,0,1.4,94.465,-41.8,4.962,5228.1,7,2,3,0,0,1,1,4,4
33,999,1,0,1.4,93.444,-36.1,4.962,5228.1,0,2,6,2,0,0,1,2,1
33,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,1,1,2,2,2,0,1,1,7
30,999,2,0,1.4,94.465,-41.8,4.864,5228.1,1,1,1,0,0,1,1,4,4
30,999,5,0,-0.1,93.2,-42.0,4.12,5195.8,4,1,6,0,0,0,1,4,7
50,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,2,1,2,0,0,1,1,3,7
38,999,3,0,1.4,93.91799999999999,-42.7,4.96,5228.1,1,1,7,0,0,0,1,1,3
25,3,1,1,-1.1,94.601,-49.5,1.0290000000000001,4963.6,8,2,3,2,0,0,2,0,8
30,999,3,0,1.1,93.994,-36.4,4.856,5191.0,7,1,6,2,0,1,1,4,6
45,999,1,1,-1.8,93.075,-47.1,1.479,5099.1,1,1,0,2,0,0,0,0,0
55,999,5,0,1.1,93.994,-36.4,4.857,5191.0,5,1,3,2,0,1,1,3,6
45,999,1,0,1.4,93.91799999999999,-42.7,4.959,5228.1,1,1,2,2,0,0,1,0,3
39,999,1,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,1,3,2,0,0,1,1,3
44,999,9,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,1,5,2,0,0,1,4,1
34,999,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,1,1,3,6
34,999,1,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,9,1,5,2,0,0,0,1,6
63,999,1,0,-3.4,92.431,-26.9,0.74,5017.5,5,1,3,2,0,0,1,4,8
36,999,1,0,1.1,93.994,-36.4,4.856,5191.0,1,1,2,0,0,1,1,3,6
24,10,1,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,1,2,2,0,0,2,4,6
24,999,3,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,2,3,2,0,1,1,1,3
37,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,2,1,0,0,0,1,3,3
52,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,9,0,6,0,0,0,1,1,7
31,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,0,2,3,2,0,0,1,0,7
41,6,2,3,-1.8,93.369,-34.8,0.653,5008.7,0,0,6,2,0,0,2,0,5
60,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,1,1,0,2,0,0,1,1,0
35,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,0,2,6,2,0,0,1,0,7
50,999,1,0,1.1,93.994,-36.4,4.856,5191.0,0,2,6,2,0,1,1,3,6
50,999,2,1,-0.1,93.2,-42.0,4.021,5195.8,0,1,6,2,2,0,0,0,7
45,999,3,0,1.1,93.994,-36.4,4.86,5191.0,1,1,0,2,0,1,1,2,6
33,999,1,0,-1.1,94.199,-37.5,0.8859999999999999,4963.6,9,2,5,0,0,0,1,4,9
42,999,2,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,4,1,6,0,0,0,1,2,7
77,999,1,0,-3.4,92.431,-26.9,0.743,5017.5,5,1,6,0,2,0,1,1,8
32,999,2,0,1.1,93.994,-36.4,4.855,5191.0,0,1,3,2,0,1,1,0,6
43,999,5,0,1.1,93.994,-36.4,4.859,5191.0,7,2,3,2,0,1,1,4,6
57,999,1,0,-2.9,92.20100000000001,-31.4,0.843,5076.2,5,1,6,2,0,0,1,1,1
47,999,5,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,1,3,0,2,1,1,2,3
44,999,2,0,-0.1,93.2,-42.0,4.12,5195.8,2,1,6,2,0,0,1,4,7
51,999,1,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,2,1,5,0,0,0,0,1,6
28,999,6,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,7,2,3,2,0,0,1,1,6
36,999,13,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,1,3,2,0,0,1,4,3
30,999,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,7,2,0,1,1,1,6
30,999,2,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1,6,2,0,1,1,4,3
32,999,1,1,-0.1,93.2,-42.0,4.191,5195.8,0,2,3,2,0,0,0,1,7
43,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,7,0,3,0,0,0,1,4,7
40,999,4,0,1.1,93.994,-36.4,4.86,5191.0,1,2,0,0,0,1,1,2,6
41,999,2,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,4,1,3,2,0,0,1,3,6
44,999,1,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1,3,2,0,0,1,4,3
46,999,2,0,1.1,93.994,-36.4,4.856,5191.0,1,1,0,2,2,1,1,3,6
36,999,2,0,1.4,93.91799999999999,-42.7,4.963,5228.1,7,2,3,2,0,0,1,0,3
46,999,2,0,1.1,93.994,-36.4,4.86,5191.0,1,2,0,0,0,1,1,2,6
31,999,1,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,7,1,3,2,0,0,1,2,6
56,999,2,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,1,1,0,2,2,0,1,4,6
25,999,1,0,1.4,93.91799999999999,-42.7,4.963,5228.1,7,2,2,2,0,0,1,4,3
53,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,4,1,3,0,0,0,1,2,7
49,999,2,0,1.4,94.465,-41.8,4.865,5228.1,1,1,0,0,0,1,1,1,4
40,999,4,0,-0.1,93.2,-42.0,4.021,5195.8,4,1,3,2,0,0,1,0,7
25,6,1,4,-1.1,94.601,-49.5,1.032,4963.6,8,2,3,2,0,0,2,1,8
40,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,2,0,0,0,1,3,7
31,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,10,2,5,2,0,0,1,2,7
28,999,1,1,-3.4,92.431,-26.9,0.7390000000000001,5017.5,7,1,2,2,0,1,0,0,8
35,999,4,0,1.4,94.465,-41.8,4.864,5228.1,1,1,2,2,0,1,1,3,4
44,999,1,0,-1.8,93.075,-47.1,1.479,5099.1,4,0,6,2,0,0,1,0,0
42,999,3,0,1.4,94.465,-41.8,4.962,5228.1,0,1,1,2,0,1,1,4,4
41,999,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,0,1,1,3,6
60,999,4,0,1.4,94.465,-41.8,4.959,5228.1,5,0,6,2,0,1,1,0,4
29,999,3,0,1.4,93.444,-36.1,4.963,5228.1,0,2,3,2,0,0,1,2,1
53,999,2,0,-2.9,92.963,-40.8,1.252,5076.2,3,1,0,2,0,0,1,3,4
60,999,6,2,-3.4,92.431,-26.9,0.722,5017.5,9,1,0,2,0,0,0,2,8
45,999,1,0,1.4,94.465,-41.8,4.961,5228.1,0,0,6,2,0,1,1,3,4
52,999,5,0,-1.8,93.075,-47.1,1.405,5099.1,2,1,2,2,2,1,1,1,0
49,999,2,0,1.4,93.91799999999999,-42.7,4.963,5228.1,6,0,6,0,2,0,1,4,3
42,999,5,0,1.1,93.994,-36.4,4.857,5191.0,6,1,6,2,0,1,1,1,6
45,999,4,0,-1.8,93.075,-47.1,1.423,5099.1,1,1,2,2,0,0,1,3,0
42,999,1,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2,3,0,2,0,1,0,3
28,999,2,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,1,1,3,6
33,999,2,2,-1.8,93.075,-47.1,1.405,5099.1,1,1,3,0,0,0,0,1,0
38,999,3,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,1,7,2,0,0,1,4,3
46,999,14,0,1.4,93.444,-36.1,4.962,5228.1,9,1,6,2,0,0,1,2,1
54,999,12,0,1.4,94.465,-41.8,4.865,5228.1,0,1,3,2,0,1,1,1,4
45,999,1,0,1.4,93.444,-36.1,4.962,5228.1,9,0,5,0,0,0,1,2,1
38,999,2,0,1.4,94.465,-41.8,4.961,5228.1,0,1,3,2,0,1,1,2,4
24,999,2,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,0,1,1,3,6
31,999,1,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,1,6,2,0,0,1,2,1
29,999,42,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,9,1,5,2,0,1,1,1,6
38,999,1,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,3,0,6,2,0,0,1,4,6
31,999,1,0,1.4,94.465,-41.8,4.961,5228.1,9,2,5,0,2,1,1,2,4
35,999,1,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,1,6,2,2,1,1,1,6
54,999,1,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,1,1,7,2,2,0,1,0,1
36,999,3,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,3,6
44,999,1,1,-0.1,93.2,-42.0,4.12,5195.8,7,1,3,0,0,0,0,4,7
53,999,1,0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,2,0,0,1,2,1
35,999,1,0,1.4,93.91799999999999,-42.7,4.957,5228.1,9,1,6,0,0,0,1,0,3
27,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2,5,2,2,0,1,3,3
32,999,8,0,1.4,94.465,-41.8,4.959,5228.1,2,1,3,0,0,1,1,4,4
49,999,1,0,1.4,94.465,-41.8,4.958,5228.1,7,1,3,0,0,1,1,2,4
53,999,2,0,-1.8,93.075,-47.1,1.405,5099.1,1,1,1,2,2,0,1,1,0
24,999,1,0,1.1,93.994,-36.4,4.864,5191.0,9,2,5,2,2,1,1,0,6
31,999,6,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,3,0,0,0,1,2,3
44,999,5,0,1.4,93.444,-36.1,4.965,5228.1,0,1,6,0,0,0,1,1,1
28,999,2,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,0,0,2,0,1,4,3
49,999,1,0,1.4,93.91799999999999,-42.7,4.958,5228.1,9,0,3,0,0,0,1,2,3
54,999,5,2,-1.7,94.215,-40.3,0.861,4991.6,0,1,6,0,2,0,0,0,3
31,13,2,1,-1.1,94.199,-37.5,0.879,4963.6,0,1,6,2,0,0,2,0,9
45,999,2,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,0,0,1,1,3,6
45,999,3,0,1.4,93.444,-36.1,4.963,5228.1,9,2,6,0,0,0,1,2,1
37,999,6,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1,3,2,0,0,1,0,6
47,999,1,0,1.1,93.994,-36.4,4.86,5191.0,1,2,2,2,0,1,1,2,6
47,999,1,0,1.1,93.994,-36.4,4.856,5191.0,1,1,5,2,0,1,1,4,6
52,999,2,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,3,2,0,1,0,1,6
54,999,3,0,1.4,94.465,-41.8,4.961,5228.1,9,2,2,0,0,1,1,1,4
47,999,4,0,1.1,93.994,-36.4,4.86,5191.0,1,1,2,2,0,1,1,2,6
26,999,2,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,1,2,2,0,0,0,1,2,6
37,999,2,0,1.4,93.444,-36.1,4.965,5228.1,9,1,6,2,0,0,1,1,1
38,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,3,0,0,0,1,1,3
52,999,3,0,1.4,94.465,-41.8,4.955,5228.1,9,1,2,2,2,1,1,2,4
54,999,1,0,-3.4,92.37899999999999,-29.8,0.797,5017.5,9,1,5,0,0,0,1,1,9
43,999,2,0,1.1,93.994,-36.4,4.856,5191.0,9,1,7,2,0,1,1,3,6
59,999,2,0,1.4,93.444,-36.1,4.965,5228.1,4,1,6,0,0,0,1,1,1
51,999,3,0,1.1,93.994,-36.4,4.857,5191.0,10,1,5,0,0,1,1,3,6
29,999,5,0,1.4,94.465,-41.8,4.959,5228.1,1,1,7,0,2,1,1,0,4
34,999,3,0,1.1,93.994,-36.4,4.857,5191.0,0,2,6,2,0,1,1,3,6
37,999,2,0,1.4,93.91799999999999,-42.7,4.961,5228.1,8,2,7,2,0,0,1,3,3
38,999,3,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,2,3,0,0,0,1,1,6
55,999,1,0,1.4,94.465,-41.8,4.958,5228.1,6,1,7,2,2,1,1,2,4
56,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,7,1,0,2,2,0,1,1,0
42,999,1,0,-2.9,92.469,-33.6,1.0290000000000001,5076.2,1,1,1,2,0,0,1,4,3
34,999,4,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,1,6,0,0,1,1,4,6
81,4,2,1,-2.9,92.20100000000001,-31.4,0.873,5076.2,5,1,1,0,0,0,2,2,1
44,999,2,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,0,5,0,0,0,1,4,1
25,999,1,0,1.4,93.91799999999999,-42.7,4.962,5228.1,9,1,6,1,1,1,1,4,3
30,999,2,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1,3,0,0,0,0,2,7
29,999,2,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,6,2,5,2,0,0,0,4,6
47,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,7,1,3,2,0,0,1,4,7
37,999,2,4,-1.7,94.027,-38.3,0.899,4991.6,9,2,6,2,0,0,0,3,1
50,999,1,1,-2.9,92.963,-40.8,1.26,5076.2,0,2,2,1,1,0,0,4,4
31,999,1,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,2,3,2,0,0,1,4,6
35,999,1,0,-1.8,93.749,-34.6,0.642,5008.7,0,1,6,2,0,0,1,1,0
29,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,0,1,3,2,0,0,1,0,7
53,999,1,0,1.1,93.994,-36.4,4.857,5191.0,6,1,6,0,2,1,1,3,6
29,999,2,0,1.4,94.465,-41.8,4.96,5228.1,0,2,2,0,0,1,1,1,4
45,999,1,0,1.1,93.994,-36.4,4.856,5191.0,1,1,2,0,0,1,1,3,6
39,999,1,0,-0.1,93.2,-42.0,4.663,5195.8,4,1,6,2,0,1,1,4,7
41,999,1,0,1.4,93.444,-36.1,4.968,5228.1,10,0,6,2,0,0,1,2,1
55,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0,0,1,0,0
41,999,1,0,1.1,93.994,-36.4,4.856,5191.0,9,2,5,2,0,1,1,3,6
30,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,7,1,3,0,0,0,1,2,7
50,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,1,0,5,2,0,0,1,0,7
37,999,1,0,1.4,94.465,-41.8,4.864,5228.1,4,1,6,0,0,1,1,3,4
41,999,2,0,1.4,93.444,-36.1,4.965,5228.1,6,1,6,0,0,0,1,1,1
35,999,2,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,1,3,0,0,0,1,0,3
58,999,2,0,-2.9,92.20100000000001,-31.4,0.883,5076.2,9,1,5,0,0,0,1,3,1
34,999,1,1,-0.1,93.2,-42.0,4.191,5195.8,0,2,3,0,0,0,0,1,7
48,999,2,0,1.1,93.994,-36.4,4.859,5191.0,1,1,0,2,0,1,1,4,6
30,999,1,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,9,2,5,1,1,1,1,2,4
70,6,2,2,-1.7,94.215,-40.3,0.846,4991.6,5,0,0,0,0,0,2,2,3
63,999,1,1,-2.9,92.20100000000001,-31.4,0.838,5076.2,9,1,7,2,0,0,0,3,1
53,999,2,0,-0.1,93.2,-42.0,4.12,5195.8,10,1,2,2,0,0,1,4,7
51,999,4,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,1,1,0,2,0,1,1,1,6
33,999,3,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,4,2,6,0,0,0,1,2,7
54,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,2,1,2,2,2,0,1,0,0
39,999,5,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,1,1,1,0,0,1,1,2,4
27,999,1,0,-1.1,94.199,-37.5,0.882,4963.6,7,2,3,0,2,1,1,1,9
43,999,3,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,9,1,5,0,0,0,1,2,7
36,999,3,0,1.4,93.444,-36.1,4.968,5228.1,0,1,3,2,0,0,1,2,1
42,999,2,0,1.4,94.465,-41.8,4.967,5228.1,9,1,2,0,0,1,1,0,4
41,999,1,0,1.4,94.465,-41.8,4.967,5228.1,1,1,2,2,0,1,1,0,4
39,999,3,0,-1.8,93.075,-47.1,1.453,5099.1,9,1,1,0,0,0,1,3,0
51,3,5,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,10,1,3,0,0,0,2,1,6
32,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,7,1,5,2,0,0,1,4,7
47,999,1,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,7,1,3,2,0,0,0,3,7
39,999,5,0,1.4,93.91799999999999,-42.7,4.957,5228.1,1,1,2,2,2,1,1,0,3
52,999,1,0,1.4,93.444,-36.1,4.97,5228.1,1,1,2,2,0,0,1,1,1
38,999,7,0,1.4,94.465,-41.8,4.865,5228.1,7,1,3,2,0,1,1,1,4
56,999,2,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,2,1,1,3,6
33,999,5,0,1.4,93.444,-36.1,4.962,5228.1,7,1,5,2,0,0,1,2,1
52,999,2,0,1.4,93.444,-36.1,4.963,5228.1,0,0,6,0,0,0,1,1,1
27,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,2,2,1,1,0,1,1,3
53,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,10,1,6,1,1,0,1,1,7
51,6,1,4,-1.7,94.027,-38.3,0.903,4991.6,1,1,2,2,0,0,2,4,1
52,999,1,0,1.1,93.994,-36.4,4.859,5191.0,1,1,0,2,2,1,1,4,6
55,999,2,0,1.1,93.994,-36.4,4.856,5191.0,1,1,0,0,0,1,1,4,6
36,999,1,0,1.1,93.994,-36.4,4.856,5191.0,9,1,5,0,0,1,1,3,6
21,999,1,0,-1.8,93.075,-47.1,1.365,5099.1,0,2,3,0,0,0,1,2,0
46,999,14,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,3,1,0,0,2,0,1,4,1
34,999,5,1,-1.8,93.075,-47.1,1.405,5099.1,1,1,2,0,2,0,0,1,0
33,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,9,2,6,0,0,0,1,1,7
22,999,5,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,5,2,0,0,1,0,3
42,999,2,0,1.4,93.91799999999999,-42.7,4.957,5228.1,9,1,3,0,0,0,1,4,3
33,12,1,1,-1.1,94.76700000000001,-50.8,1.0490000000000002,4963.6,0,1,6,2,0,0,2,0,7
35,999,6,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,7,0,2,2,2,0,1,3,7
38,999,1,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1,3,1,1,0,1,2,7
48,999,2,0,1.1,93.994,-36.4,4.857,5191.0,2,1,3,2,0,1,1,1,6
39,999,1,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,7,0,3,0,0,0,1,2,6
31,999,3,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,2,5,2,0,0,1,4,1
74,999,1,1,-2.9,92.20100000000001,-31.4,0.861,5076.2,5,1,2,2,0,0,0,1,1
26,999,2,0,1.4,94.465,-41.8,4.961,5228.1,0,2,3,2,0,1,1,1,4
55,999,4,0,1.4,93.91799999999999,-42.7,4.96,5228.1,9,1,5,0,0,0,1,1,3
33,999,3,0,-0.1,93.2,-42.0,4.12,5195.8,0,1,6,2,2,0,1,4,7
43,999,3,0,1.1,93.994,-36.4,4.857,5191.0,10,1,3,2,0,1,1,4,6
26,999,1,0,-2.9,92.963,-40.8,1.26,5076.2,9,2,5,2,0,0,1,4,4
35,999,3,0,1.4,93.91799999999999,-42.7,4.968,5228.1,9,1,5,0,0,0,1,2,3
33,999,1,0,-1.8,92.89299999999999,-46.2,1.27,5099.1,0,2,6,2,0,0,1,4,6
37,999,5,0,-1.8,93.075,-47.1,1.41,5099.1,0,1,5,2,2,0,1,2,0
28,999,2,0,-1.8,92.84299999999999,-50.0,1.531,5099.1,0,2,3,0,0,1,1,0,5
38,999,1,0,1.4,94.465,-41.8,4.864,5228.1,8,2,6,1,1,1,1,3,4
37,5,1,1,-3.4,92.649,-30.1,0.722,5017.5,6,1,5,2,2,0,2,1,7
48,999,3,0,-1.8,93.075,-47.1,1.405,5099.1,5,0,0,2,0,0,1,1,0
24,999,2,0,1.1,93.994,-36.4,4.864,5191.0,2,1,6,0,0,1,1,0,6
44,999,11,0,1.4,93.91799999999999,-42.7,4.961,5228.1,1,2,2,2,0,1,1,3,3
32,999,3,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,2,6,1,1,0,1,3,3
45,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,6,1,0,1,1,0,1,3,7
36,999,1,1,-2.9,92.20100000000001,-31.4,0.821,5076.2,9,2,5,2,0,0,0,1,1
28,999,2,0,1.4,94.465,-41.8,4.962,5228.1,9,2,6,0,0,1,1,4,4
54,4,1,1,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,9,1,6,2,0,0,2,0,1
26,999,4,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,0,0,1,1,0,6
32,999,1,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,0,3,0,0,0,1,0,6
43,999,3,0,1.1,93.994,-36.4,4.859,5191.0,1,0,2,2,0,1,1,0,6
37,999,2,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,3,2,3,2,0,0,1,2,6
34,6,1,3,-1.8,93.369,-34.8,0.652,5008.7,0,2,6,2,0,0,2,3,5
40,999,5,0,1.1,93.994,-36.4,4.859,5191.0,3,0,1,2,0,1,1,4,6
28,999,8,0,1.1,93.994,-36.4,4.86,5191.0,8,2,0,0,0,1,1,2,6
32,999,1,0,1.4,93.91799999999999,-42.7,4.962,5228.1,9,2,6,0,2,0,1,4,3
29,999,2,0,1.4,94.465,-41.8,4.958,5228.1,7,1,3,2,0,1,1,2,4
54,999,1,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,0,5,2,0,0,0,3,6
35,9,3,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,2,2,2,0,0,2,3,6
27,999,2,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,6,1,2,2,0,0,1,4,6
48,999,1,0,1.4,93.444,-36.1,4.965,5228.1,3,1,2,2,0,0,1,3,1
38,999,2,0,-0.1,93.2,-42.0,4.191,5195.8,2,1,3,2,0,0,1,1,7
46,999,3,1,-1.1,94.76700000000001,-50.8,1.046,4963.6,0,2,6,2,0,0,0,3,7
34,999,4,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,1,1,0,2,2,0,1,4,6
80,6,2,2,-1.7,94.215,-40.3,0.899,4991.6,5,0,0,0,2,0,2,2,3
35,4,1,2,-3.4,92.431,-26.9,0.754,5017.5,0,1,3,0,0,0,2,2,8
29,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,0,2,6,2,0,0,1,1,7
38,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,2,3,0,0,0,1,2,3
57,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,4,1,6,2,0,1,1,1,7
47,999,2,0,1.4,94.465,-41.8,4.961,5228.1,4,1,0,0,2,1,1,1,4
47,999,3,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1,6,0,0,0,1,4,1
36,999,1,0,1.4,94.465,-41.8,4.865,5228.1,9,1,5,2,0,1,1,1,4
