age,campaign,previous,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_code,marital_code,education_code,housing_code,loan_code,contact_code,poutcome_code,day_of_week_code,month_code
27,2,1,314,-1.8,93.075,-47.1,1.41,5099.1,0,2,3,0,0,0,0,2,0
29,1,0,427,-1.8,92.89299999999999,-46.2,1.281,5099.1,1,2,2,2,0,0,1,4,6
35,2,0,87,1.4,93.91799999999999,-42.7,4.961,5228.1,1,1,6,1,1,0,1,3,3
26,1,0,138,-2.9,92.20100000000001,-31.4,0.861,5076.2,0,2,6,2,0,0,1,1,1
47,2,0,97,-0.1,93.2,-42.0,4.0760000000000005,5195.8,6,2,5,2,0,0,1,2,7
22,1,0,312,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,8,2,3,0,0,0,1,0,6
24,2,0,53,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,7,2,3,2,0,0,1,0,6
50,1,0,134,1.4,93.91799999999999,-42.7,4.958,5228.1,1,1,7,0,0,0,1,2,3
54,1,0,56,-0.1,93.2,-42.0,4.191,5195.8,9,1,6,1,1,0,1,1,7
42,1,0,123,1.1,93.994,-36.4,4.859,5191.0,4,1,6,2,2,1,1,0,6
39,1,0,104,-0.1,93.2,-42.0,4.021,5195.8,7,1,3,0,2,0,1,0,7
36,1,0,193,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,1,1,1,0,0,0,1,1,6
51,4,0,28,-0.1,93.2,-42.0,4.021,5195.8,3,1,3,0,0,0,1,0,7
46,2,0,293,-1.8,92.89299999999999,-46.2,1.327,5099.1,4,1,6,2,0,0,1,2,6
44,4,0,146,1.1,93.994,-36.4,4.857,5191.0,7,1,3,1,1,1,1,0,6
34,2,1,90,-1.8,93.075,-47.1,1.405,5099.1,1,2,2,2,0,0,0,1,0
76,1,0,879,-3.4,92.37899999999999,-29.8,0.8029999999999999,5017.5,4,1,7,0,0,0,1,0,9
28,1,1,186,-3.4,92.431,-26.9,0.7390000000000001,5017.5,7,1,2,2,0,1,0,0,8
29,5,0,104,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1,2,0,2,2,0,1,2,7
33,2,1,90,-0.1,93.2,-42.0,4.12,5195.8,2,1,1,0,0,0,0,4,7
42,3,0,122,-3.4,92.431,-26.9,0.742,5017.5,2,1,2,0,0,0,1,4,8
50,3,0,87,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,3,0,0,0,1,3,7
37,3,0,383,1.1,93.994,-36.4,4.855,5191.0,1,1,1,0,0,1,1,2,6
35,1,0,187,1.4,93.91799999999999,-42.7,4.957,5228.1,9,1,6,0,0,0,1,0,3
51,3,0,141,1.4,93.91799999999999,-42.7,4.962,5228.1,2,1,1,0,0,0,1,0,3
35,1,0,592,1.1,93.994,-36.4,4.856,5191.0,10,1,6,0,0,1,1,3,6
51,28,0,41,1.4,94.465,-41.8,4.959,5228.1,7,1,3,2,0,1,1,0,4
33,3,1,755,-1.8,92.89299999999999,-46.2,1.327,5099.1,9,1,6,2,0,1,0,2,6
24,1,3,84,-3.4,92.649,-30.1,0.716,5017.5,0,2,6,2,0,0,0,4,7
30,1,0,123,1.1,93.994,-36.4,4.857,5191.0,6,2,3,2,0,1,1,3,6
33,4,0,73,-1.8,93.075,-47.1,1.405,5099.1,0,2,6,0,0,0,1,1,0
32,1,0,596,-2.9,92.963,-40.8,1.262,5076.2,0,1,6,0,0,0,1,3,4
66,1,1,175,-3.4,92.649,-30.1,0.7140000000000001,5017.5,5,1,0,2,0,0,2,1,7
48,1,1,103,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,0,0,6,2,0,0,2,0,1
32,3,0,79,1.4,93.444,-36.1,4.966,5228.1,0,1,6,2,0,0,1,0,1
39,4,0,82,1.4,93.444,-36.1,4.968,5228.1,4,1,3,0,0,0,1,2,1
28,1,0,54,-1.8,92.84299999999999,-50.0,1.811,5099.1,9,2,6,2,2,0,1,1,5
48,1,0,334,1.4,94.465,-41.8,4.967,5228.1,10,1,3,2,0,1,1,0,4
36,2,1,193,-0.1,93.2,-42.0,4.191,5195.8,7,1,3,2,0,0,0,1,7
46,3,0,124,1.4,93.91799999999999,-42.7,4.968,5228.1,9,1,6,0,0,0,1,2,3
39,4,0,84,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,3,2,0,0,1,1,3
44,3,0,247,1.1,93.994,-36.4,4.856,5191.0,1,1,2,2,2,1,1,3,6
36,3,0,258,1.4,93.444,-36.1,4.965,5228.1,0,1,6,2,0,0,1,1,1
44,2,0,244,-1.8,92.89299999999999,-46.2,1.327,5099.1,1,1,1,0,2,0,1,2,6
51,1,1,125,-0.1,93.2,-42.0,4.1530000000000005,5195.8,2,1,2,0,0,0,0,3,7
59,5,0,9,1.4,94.465,-41.8,4.959,5228.1,2,1,6,0,0,1,1,0,4
33,2,0,160,-1.8,92.89299999999999,-46.2,1.334,5099.1,7,1,5,2,0,0,1,4,6
26,3,0,979,1.4,93.91799999999999,-42.7,4.963,5228.1,0,2,6,0,2,0,1,4,3
40,1,0,178,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,2,1,1,1,6
29,5,0,132,1.1,93.994,-36.4,4.855,5191.0,0,2,3,0,0,1,1,0,6
36,1,0,133,-1.8,92.89299999999999,-46.2,1.334,5099.1,1,1,2,0,0,0,1,4,6
62,1,0,443,-3.4,92.649,-30.1,0.7140000000000001,5017.5,3,1,0,2,0,0,1,2,7
26,2,0,335,1.1,93.994,-36.4,4.857,5191.0,1,2,2,2,0,1,1,4,6
40,1,0,570,-0.1,93.2,-42.0,4.12,5195.8,0,1,3,2,0,0,1,4,7
55,4,0,95,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,4,1,0,0,0,0,1,0,6
38,1,0,60,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,1,0,0,0,1,2,3
31,1,0,374,1.1,93.994,-36.4,4.86,5191.0,9,1,5,2,0,1,1,2,6
45,1,0,521,1.4,94.465,-41.8,4.961,5228.1,0,1,2,0,0,1,1,2,4
37,3,0,60,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,2,6,2,0,0,1,4,1
49,1,1,188,-1.8,93.876,-40.0,0.6990000000000001,5008.7,9,1,6,0,0,0,0,2,6
40,3,0,94,1.4,93.444,-36.1,4.965,5228.1,4,1,6,0,0,0,1,1,1
47,1,0,147,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,0,1,1,1,6
34,3,0,194,-1.8,92.89299999999999,-46.2,1.291,5099.1,6,2,6,2,0,0,1,3,6
24,1,0,111,1.1,93.994,-36.4,4.856,5191.0,7,2,3,0,0,1,1,4,6
70,4,0,83,-1.8,92.84299999999999,-50.0,1.56,5099.1,0,0,6,0,0,0,1,1,5
54,1,0,193,-0.1,93.2,-42.0,4.191,5195.8,7,1,3,0,0,0,1,1,7
45,1,0,275,-0.1,93.2,-42.0,4.191,5195.8,9,1,6,2,0,1,1,1,7
40,2,0,51,1.1,93.994,-36.4,4.857,5191.0,9,1,5,0,2,1,1,4,6
32,1,1,125,-1.8,92.89299999999999,-46.2,1.266,5099.1,4,1,5,0,0,0,0,2,6
31,2,0,750,1.4,94.465,-41.8,4.96,5228.1,1,2,3,2,0,1,1,1,4
67,22,0,70,-1.8,92.84299999999999,-50.0,1.703,5099.1,5,2,6,2,2,0,1,1,5
50,5,1,178,-1.8,92.89299999999999,-46.2,1.334,5099.1,7,0,3,0,2,0,0,4,6
29,1,0,156,1.4,93.444,-36.1,4.966,5228.1,0,2,6,2,0,0,1,0,1
33,3,0,57,1.4,93.444,-36.1,4.966,5228.1,0,0,3,2,0,0,1,0,1
31,1,0,173,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2,5,0,0,0,1,3,3
38,2,0,59,1.4,94.465,-41.8,4.962,5228.1,1,2,6,2,0,1,1,4,4
36,1,0,393,1.4,93.91799999999999,-42.7,4.962,5228.1,9,2,7,0,0,0,1,3,3
54,2,0,155,1.1,93.994,-36.4,4.86,5191.0,9,0,6,0,2,1,1,2,6
42,3,0,218,1.4,93.91799999999999,-42.7,4.957,5228.1,0,2,6,2,0,0,1,0,3
30,5,0,106,1.1,93.994,-36.4,4.859,5191.0,7,1,3,0,0,1,1,4,6
35,1,0,405,-1.8,93.075,-47.1,1.445,5099.1,9,0,5,2,0,0,1,4,0
53,4,0,209,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,6,2,0,0,1,4,1
55,3,0,129,1.4,93.91799999999999,-42.7,4.962,5228.1,5,1,0,2,0,0,1,0,3
46,3,0,272,1.4,93.91799999999999,-42.7,4.962,5228.1,1,2,1,0,2,0,1,1,3
28,1,1,847,-3.4,92.431,-26.9,0.7390000000000001,5017.5,7,1,2,2,0,0,2,0,8
38,4,0,162,1.1,93.994,-36.4,4.859,5191.0,1,1,5,2,0,1,1,4,6
42,1,0,192,1.1,93.994,-36.4,4.86,5191.0,9,0,2,0,0,1,1,2,6
23,1,0,200,-1.8,92.89299999999999,-46.2,1.266,5099.1,8,2,6,2,0,0,1,2,6
36,2,0,251,-0.1,93.2,-42.0,4.191,5195.8,9,1,5,0,0,0,1,1,7
39,1,0,188,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,1,2,0,0,1,3,3
40,2,0,202,1.4,94.465,-41.8,4.961,5228.1,0,1,6,0,0,1,1,2,4
38,1,1,612,-1.8,93.075,-47.1,1.405,5099.1,1,1,2,2,0,0,0,0,0
51,1,0,147,1.4,94.465,-41.8,4.865,5228.1,9,1,5,0,2,1,1,1,4
45,1,0,31,1.4,93.91799999999999,-42.7,4.959,5228.1,4,1,6,0,2,1,1,0,3
41,1,1,826,-2.9,92.469,-33.6,1.044,5076.2,0,1,6,2,0,0,0,3,3
26,2,0,482,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,8,2,3,0,0,0,1,0,1
35,1,0,126,1.1,93.994,-36.4,4.864,5191.0,4,2,7,0,0,1,1,0,6
33,7,0,53,1.1,93.994,-36.4,4.864,5191.0,0,1,3,2,0,1,1,0,6
55,4,0,133,1.1,93.994,-36.4,4.859,5191.0,0,1,3,2,0,1,1,4,6
35,12,0,724,1.4,93.444,-36.1,4.963,5228.1,0,2,6,0,0,0,1,1,1
45,2,0,226,1.1,93.994,-36.4,4.86,5191.0,0,1,1,2,0,1,1,2,6
29,1,0,144,1.1,93.994,-36.4,4.855,5191.0,10,2,6,0,0,1,1,2,6
36,3,0,191,-1.8,92.89299999999999,-46.2,1.291,5099.1,7,0,2,0,0,0,1,3,6
34,10,0,156,1.4,93.444,-36.1,4.9639999999999995,5228.1,2,1,2,2,0,0,1,4,1
37,3,0,340,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,5,2,0,0,1,1,3
75,2,1,356,-1.8,93.075,-47.1,1.405,5099.1,5,1,0,0,0,0,0,3,0
37,3,0,599,1.4,94.465,-41.8,4.96,5228.1,0,1,3,2,0,1,1,1,4
36,11,0,42,1.1,93.994,-36.4,4.864,5191.0,1,1,0,0,0,1,1,0,6
31,3,0,465,1.1,93.994,-36.4,4.864,5191.0,0,1,2,2,0,1,1,0,6
36,4,0,338,1.1,93.994,-36.4,4.855,5191.0,9,1,5,2,0,1,1,0,6
34,2,0,99,1.1,93.994,-36.4,4.857,5191.0,4,1,6,2,0,1,1,3,6
34,1,0,160,1.1,93.994,-36.4,4.857,5191.0,1,2,3,0,2,1,1,3,6
56,5,0,311,1.1,93.994,-36.4,4.86,5191.0,7,0,3,0,0,1,1,2,6
39,1,0,247,1.1,93.994,-36.4,4.857,5191.0,2,1,6,2,0,1,1,1,6
51,2,0,59,1.4,93.444,-36.1,4.963,5228.1,0,0,6,0,0,0,1,0,1
39,4,0,197,1.4,93.91799999999999,-42.7,4.961,5228.1,7,1,3,2,2,0,1,3,3
52,3,0,88,1.4,93.444,-36.1,4.968,5228.1,9,1,5,2,0,0,1,2,1
54,1,0,192,1.1,93.994,-36.4,4.856,5191.0,7,1,7,0,0,1,1,3,6
40,1,0,286,1.4,94.465,-41.8,4.96,5228.1,3,1,0,0,0,1,1,1,4
37,2,0,92,1.4,93.91799999999999,-42.7,4.957,5228.1,2,2,5,2,0,0,1,0,3
29,1,0,181,1.1,93.994,-36.4,4.857,5191.0,0,1,3,2,0,1,1,3,6
38,1,1,1361,-2.9,92.963,-40.8,1.26,5076.2,0,0,3,2,0,0,0,4,4
50,3,0,140,-2.9,92.469,-33.6,1.085,5076.2,0,1,3,0,0,0,1,4,3
55,1,0,193,1.1,93.994,-36.4,4.857,5191.0,5,0,3,2,0,1,1,3,6
35,1,0,131,1.4,93.444,-36.1,4.965,5228.1,0,2,6,0,0,0,1,3,1
37,2,2,153,-1.8,93.369,-34.8,0.655,5008.7,0,2,3,0,0,0,2,4,5
53,2,0,152,1.4,93.444,-36.1,4.965,5228.1,3,1,7,2,0,0,1,1,1
28,1,0,334,-1.8,92.89299999999999,-46.2,1.266,5099.1,1,1,2,2,0,0,1,2,6
31,10,0,15,1.4,93.444,-36.1,4.9639999999999995,5228.1,6,1,6,2,0,0,1,4,1
40,4,0,104,1.4,94.465,-41.8,4.96,5228.1,1,1,1,2,0,1,1,1,4
45,5,0,167,-0.1,93.2,-42.0,4.1530000000000005,5195.8,2,1,0,2,0,0,1,3,7
45,1,0,60,1.1,93.994,-36.4,4.855,5191.0,7,1,2,2,2,1,1,2,6
59,2,1,600,-1.8,92.89299999999999,-46.2,1.327,5099.1,1,1,2,0,0,0,0,2,6
50,2,0,243,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,0,1,1,3,6
40,1,0,188,-1.8,92.89299999999999,-46.2,1.327,5099.1,4,1,6,2,0,0,1,2,6
46,9,0,40,1.4,93.91799999999999,-42.7,4.968,5228.1,7,1,2,2,0,0,1,2,3
50,2,0,122,1.4,93.91799999999999,-42.7,4.96,5228.1,1,1,0,2,0,0,1,1,3
55,2,0,92,-0.1,93.2,-42.0,4.0760000000000005,5195.8,9,2,6,2,2,0,1,2,7
57,1,0,162,-0.1,93.2,-42.0,4.021,5195.8,4,0,6,1,1,1,1,0,7
42,4,0,249,-0.1,93.2,-42.0,4.021,5195.8,1,2,5,0,0,0,1,0,7
28,3,1,72,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,1,6,0,0,0,0,3,6
45,1,0,192,1.4,93.91799999999999,-42.7,4.961,5228.1,4,0,6,2,2,0,1,3,3
44,1,0,208,-1.8,92.89299999999999,-46.2,1.244,5099.1,10,0,1,0,0,0,1,1,6
38,1,0,147,-1.8,92.89299999999999,-46.2,1.334,5099.1,9,1,6,2,0,0,1,4,6
35,3,0,234,-1.8,92.89299999999999,-46.2,1.281,5099.1,7,2,3,0,0,0,1,4,6
46,10,0,149,1.4,93.91799999999999,-42.7,4.963,5228.1,7,1,3,2,2,0,1,4,3
29,6,0,166,1.4,93.91799999999999,-42.7,4.957,5228.1,0,2,6,2,2,0,1,4,3
31,1,0,57,1.4,93.444,-36.1,4.968,5228.1,0,1,3,0,0,0,1,2,1
31,2,1,298,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1,6,2,0,0,2,2,7
24,2,1,180,-3.4,92.649,-30.1,0.722,5017.5,8,2,5,0,0,0,0,1,7
32,4,0,451,1.4,93.444,-36.1,4.963,5228.1,0,2,6,2,0,0,1,3,1
33,1,0,108,-1.8,93.075,-47.1,1.405,5099.1,9,1,5,2,0,0,1,0,0
31,2,0,119,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,1,2,0,0,1,0,3
40,1,0,67,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,0,2,0,0,1,2,3
34,2,0,70,-0.1,93.2,-42.0,4.021,5195.8,0,2,6,0,0,0,1,0,7
33,3,0,192,1.4,93.91799999999999,-42.7,4.963,5228.1,7,1,5,2,0,0,1,4,3
44,1,0,147,1.4,93.91799999999999,-42.7,4.96,5228.1,1,1,2,0,0,0,1,1,3
37,1,0,80,1.1,93.994,-36.4,4.86,5191.0,6,1,5,2,0,1,1,2,6
34,1,0,195,1.4,93.91799999999999,-42.7,4.957,5228.1,1,2,1,2,2,0,1,4,3
59,2,0,668,1.1,93.994,-36.4,4.86,5191.0,1,1,2,0,0,1,1,2,6
49,2,0,190,1.4,94.465,-41.8,4.967,5228.1,3,1,0,2,0,1,1,0,4
38,1,0,388,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,1,1,5,0,0,0,1,1,6
33,1,0,371,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,0,2,2,0,1,4,3
54,2,0,584,1.1,93.994,-36.4,4.856,5191.0,5,0,0,2,0,1,1,3,6
31,35,0,21,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2,3,0,0,0,1,3,3
46,2,0,243,1.4,93.91799999999999,-42.7,4.96,5228.1,1,1,2,2,0,0,1,1,3
33,1,1,79,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,1,1,2,0,0,0,0,0,1
48,3,0,528,1.4,93.444,-36.1,4.963,5228.1,1,1,7,0,0,0,1,1,1
38,12,0,427,1.4,93.444,-36.1,4.965,5228.1,0,1,6,2,0,0,1,3,1
41,1,0,66,1.4,94.465,-41.8,4.96,5228.1,1,0,1,0,0,1,1,1,4
29,2,0,74,-1.8,92.84299999999999,-50.0,1.556,5099.1,1,1,0,2,2,0,1,3,5
45,1,0,113,-0.1,93.2,-42.0,4.191,5195.8,0,1,3,0,0,0,1,1,7
48,1,0,106,1.1,93.994,-36.4,4.856,5191.0,1,0,0,0,0,1,1,3,6
45,5,0,314,1.4,93.444,-36.1,4.967,5228.1,0,1,6,2,0,0,1,4,1
36,2,0,285,1.4,93.91799999999999,-42.7,4.961,5228.1,7,1,3,0,2,0,1,3,3
52,2,0,1492,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,2,0,0,1,1,0,3
45,2,0,394,1.1,93.994,-36.4,4.8580000000000005,5191.0,1,1,2,0,0,1,1,4,6
41,2,0,81,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,1,5,0,2,0,1,4,1
56,1,0,115,1.4,93.444,-36.1,4.9639999999999995,5228.1,5,1,7,0,2,0,1,0,1
35,2,0,145,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,1,2,0,0,1,0,3
32,1,0,176,1.4,93.91799999999999,-42.7,4.963,5228.1,1,1,2,0,0,0,1,2,3
34,1,0,26,1.1,93.994,-36.4,4.857,5191.0,0,2,6,2,2,1,1,3,6
33,1,0,21,1.1,93.994,-36.4,4.855,5191.0,4,1,6,0,0,1,1,0,6
27,2,0,93,1.1,93.994,-36.4,4.857,5191.0,7,2,2,0,0,1,1,1,6
35,2,0,178,-0.1,93.2,-42.0,4.12,5195.8,1,1,2,2,0,1,1,4,7
37,2,0,654,1.4,94.465,-41.8,4.864,5228.1,1,1,1,0,0,1,1,4,4
34,1,0,365,-1.8,93.075,-47.1,1.405,5099.1,1,1,5,0,0,0,1,0,0
38,1,0,173,1.1,93.994,-36.4,4.856,5191.0,1,1,0,2,0,1,1,3,6
44,4,0,358,-0.1,93.2,-42.0,4.021,5195.8,0,1,6,2,0,0,1,0,7
33,4,0,112,-1.8,92.89299999999999,-46.2,1.291,5099.1,1,1,2,2,0,0,1,3,6
37,4,0,138,1.1,93.994,-36.4,4.857,5191.0,0,2,6,2,2,1,1,0,6
50,1,0,192,1.4,93.444,-36.1,4.962,5228.1,10,1,2,2,0,1,1,2,1
32,5,0,418,1.4,93.444,-36.1,4.965,5228.1,9,1,6,0,0,0,1,1,1
37,1,0,384,1.4,94.465,-41.8,4.864,5228.1,0,2,3,2,0,1,1,3,4
34,1,0,270,1.4,93.444,-36.1,4.965,5228.1,0,1,6,2,0,0,1,4,1
52,2,0,157,-0.1,93.2,-42.0,4.021,5195.8,0,1,3,0,0,0,1,0,7
38,3,0,70,1.4,94.465,-41.8,4.959,5228.1,0,1,6,2,0,1,1,4,4
48,1,0,379,1.1,93.994,-36.4,4.857,5191.0,1,1,1,1,1,1,1,0,6
31,4,2,203,-1.1,94.601,-49.5,0.982,4963.6,9,1,6,2,2,0,2,3,8
26,3,0,11,1.4,93.91799999999999,-42.7,4.957,5228.1,7,2,3,2,2,1,1,0,3
39,2,0,68,1.4,93.91799999999999,-42.7,4.968,5228.1,7,1,3,2,0,0,1,2,3
35,4,0,297,-1.8,92.89299999999999,-46.2,1.354,5099.1,7,1,3,0,0,0,1,1,6
46,3,0,485,1.4,94.465,-41.8,4.959,5228.1,2,0,3,0,0,1,1,0,4
44,1,0,171,1.4,94.465,-41.8,4.958,5228.1,9,1,5,0,0,1,1,2,4
39,4,0,83,1.1,93.994,-36.4,4.857,5191.0,6,2,0,2,0,1,1,3,6
28,1,0,94,1.4,93.91799999999999,-42.7,4.96,5228.1,3,2,1,0,0,0,1,1,3
52,13,2,513,-3.4,92.37899999999999,-29.8,0.8190000000000001,5017.5,0,1,7,0,0,1,0,3,9
31,2,0,847,-1.8,93.075,-47.1,1.405,5099.1,9,2,6,2,0,1,1,3,0
48,1,0,116,1.1,93.994,-36.4,4.856,5191.0,0,1,3,2,0,1,1,3,6
37,2,0,97,-1.8,92.89299999999999,-46.2,1.334,5099.1,1,1,2,0,0,1,1,4,6
41,2,0,466,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,2,3,0,0,0,1,1,6
58,2,0,543,1.1,93.994,-36.4,4.857,5191.0,0,2,6,0,0,1,1,1,6
29,4,0,186,-1.8,93.075,-47.1,1.405,5099.1,0,2,3,2,2,1,1,4,0
24,1,0,133,-1.8,92.89299999999999,-46.2,1.334,5099.1,8,2,2,0,0,0,1,4,6
46,1,0,150,1.1,93.994,-36.4,4.857,5191.0,3,1,2,2,0,1,1,3,6
53,1,0,291,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,3,2,0,0,1,0,6
55,1,1,519,-1.8,93.075,-47.1,1.405,5099.1,4,1,6,0,0,0,0,0,0
53,2,0,248,-0.1,93.2,-42.0,4.12,5195.8,10,1,2,2,0,0,1,4,7
26,1,0,586,-1.8,93.075,-47.1,1.405,5099.1,1,2,2,0,0,0,1,1,0
19,1,0,491,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,8,2,2,2,0,0,1,0,6
31,4,0,101,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,0,3,0,0,0,1,0,1
52,2,0,95,-1.8,93.075,-47.1,1.405,5099.1,0,1,6,2,0,0,1,1,0
30,5,0,40,1.4,93.91799999999999,-42.7,4.961,5228.1,7,2,3,2,0,0,1,3,3
27,1,1,284,-1.8,93.075,-47.1,1.41,5099.1,0,2,3,0,0,0,0,2,0
24,7,0,34,-1.8,92.89299999999999,-46.2,1.25,5099.1,7,2,3,2,0,0,1,0,6
57,11,0,93,1.4,93.91799999999999,-42.7,4.962,5228.1,5,2,0,0,2,1,1,0,3
32,5,0,151,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1,6,2,0,1,1,2,6
54,1,1,325,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,9,1,6,2,0,0,2,0,1
34,2,1,301,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,6,2,0,0,0,1,6
56,2,0,147,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,6,2,2,0,1,3,7
38,1,0,229,1.1,93.994,-36.4,4.86,5191.0,0,1,1,2,0,1,1,2,6
39,2,0,83,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,0,6
35,3,1,437,-1.8,92.89299999999999,-46.2,1.327,5099.1,4,1,6,0,0,0,0,2,6
