age,default,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_code,marital_code,education_code,housing_code,loan_code,contact_code,poutcome_code,day_of_week_code,month_code,subscribed
25,no,174,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,6,2,0,1,1,1,6,0
47,unknown,449,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,6,0,0,1,1,1,6,0
51,no,812,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,1,6,0
42,unknown,164,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6,0
42,unknown,366,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,0,1,1,1,6,0
48,no,357,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,1,1,1,6,0
37,no,232,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,0,1,1,1,6,0
44,no,91,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,2,0,1,1,1,6,0
33,no,273,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,2,0,1,1,1,6,0
56,no,158,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,2,2,0,1,1,1,6,0
44,unknown,177,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,0,2,2,1,1,1,6,0
41,no,200,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,1,0,0,1,1,1,6,0
44,no,172,1,0,1.1,93.994,-36.4,4.857,5191.0,4,0,6,2,0,1,1,1,6,0
47,unknown,176,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
57,unknown,211,1,0,1.1,93.994,-36.4,4.857,5191.0,11,1,7,0,0,1,1,1,6,0
37,unknown,214,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
41,unknown,1575,1,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,2,0,1,1,1,6,1
55,no,349,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,1,1,1,6,0
33,unknown,337,2,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,0,1,1,1,6,0
55,unknown,272,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,7,2,0,1,1,1,6,0
42,unknown,208,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,1,1,1,6,0
50,unknown,193,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
51,unknown,212,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,1,1,1,1,1,6,0
38,unknown,165,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,1,1,1,6,0
49,unknown,1042,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,6,2,0,1,1,1,6,1
38,no,20,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,6,0,2,1,1,1,6,0
31,no,246,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,1,1,1,6,0
41,no,529,2,0,1.1,93.994,-36.4,4.857,5191.0,4,1,1,0,0,1,1,1,6,0
39,no,192,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,2,1,1,1,6,0
49,no,1467,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,2,0,0,1,1,1,6,1
34,no,188,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,2,0,1,1,1,6,0
35,no,180,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
57,unknown,48,1,0,1.1,93.994,-36.4,4.857,5191.0,11,1,7,2,0,1,1,1,6,0
60,unknown,213,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,0,2,1,1,1,6,0
33,no,545,1,0,1.1,93.994,-36.4,4.857,5191.0,10,1,2,0,0,1,1,1,6,0
42,no,583,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,2,1,1,1,6,0
45,no,221,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,5,2,0,1,1,1,6,0
42,no,426,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,1,1,1,6,0
53,unknown,287,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,1,1,1,6,0
37,no,197,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,0,1,1,1,6,0
44,no,257,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,0,1,1,1,6,0
54,no,229,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,7,2,0,1,1,1,6,0
49,no,55,3,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
54,no,400,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,7,0,0,1,1,1,6,0
52,no,197,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,1,1,1,6,0
52,no,190,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,1,1,1,6,0
43,unknown,21,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,0,0,1,1,1,6,0
34,no,300,2,0,1.1,93.994,-36.4,4.857,5191.0,3,1,1,2,0,1,1,1,6,0
35,no,123,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,2,0,1,1,1,6,0
42,unknown,293,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,7,2,0,1,1,1,6,0
43,unknown,325,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,2,2,1,1,1,6,0
60,unknown,514,1,0,1.1,93.994,-36.4,4.857,5191.0,5,0,6,0,0,1,1,1,6,0
58,unknown,849,2,0,1.1,93.994,-36.4,4.857,5191.0,10,1,0,0,0,1,1,1,6,0
35,no,194,1,0,1.1,93.994,-36.4,4.857,5191.0,7,0,3,2,0,1,1,1,6,0
55,unknown,212,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,1,6,0
37,no,337,2,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,1,1,1,6,0
36,no,286,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,3,0,0,1,1,1,6,0
52,no,247,2,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,1,1,1,6,0
57,unknown,518,1,0,1.1,93.994,-36.4,4.857,5191.0,1,0,7,2,0,1,1,1,6,0
56,no,364,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,2,0,1,1,1,6,0
48,unknown,178,1,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,2,0,1,1,1,6,0
40,unknown,98,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,3,2,0,1,1,1,6,0
49,no,439,1,0,1.1,93.994,-36.4,4.857,5191.0,1,0,3,0,0,1,1,1,6,0
41,no,139,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
45,no,79,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,3,2,0,1,1,1,6,0
32,no,175,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,2,1,1,1,6,0
42,no,262,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,1,1,1,6,0
50,no,61,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,1,0,0,1,1,1,6,0
31,no,78,1,0,1.1,93.994,-36.4,4.857,5191.0,9,0,5,2,2,1,1,1,6,0
56,no,102,2,0,1.1,93.994,-36.4,4.857,5191.0,5,1,0,2,0,1,1,1,6,0
41,unknown,579,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,2,0,1,1,1,6,1
37,no,143,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,2,1,1,1,6,0
41,unknown,677,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,0,0,1,1,1,6,0
35,no,267,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,2,0,1,1,1,6,0
37,no,345,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6,0
52,no,185,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,1,1,1,6,0
39,no,207,1,0,1.1,93.994,-36.4,4.857,5191.0,4,0,6,0,0,1,1,1,6,0
39,unknown,69,2,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,0,1,1,1,6,0
56,unknown,100,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
34,no,125,2,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,0,1,1,1,6,0
45,unknown,461,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,1,6,1
43,no,240,1,0,1.1,93.994,-36.4,4.857,5191.0,10,2,6,2,0,1,1,1,6,0
56,no,70,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,7,2,0,1,1,1,6,0
39,no,193,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,2,0,1,1,1,6,0
53,no,136,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
38,unknown,73,1,0,1.1,93.994,-36.4,4.857,5191.0,11,0,3,2,0,1,1,1,6,0
42,unknown,528,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
42,unknown,541,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
35,no,338,1,0,1.1,93.994,-36.4,4.857,5191.0,0,2,3,2,0,1,1,1,6,0
40,unknown,163,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
51,no,87,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
60,unknown,301,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,1,1,1,6,0
56,unknown,46,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,7,2,0,1,1,1,6,0
39,unknown,52,1,0,1.1,93.994,-36.4,4.857,5191.0,7,0,3,2,0,1,1,1,6,0
56,unknown,204,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,7,0,0,1,1,1,6,0
40,no,155,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,2,2,1,1,1,6,0
36,no,98,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,2,1,1,1,6,0
51,unknown,71,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,2,0,1,1,1,6,0
51,unknown,243,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,0,0,1,1,1,6,0
43,no,186,2,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,2,0,1,1,1,6,0
59,no,579,2,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
24,no,165,2,0,1.1,93.994,-36.4,4.857,5191.0,4,2,6,2,0,1,1,1,6,0
37,unknown,163,2,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,2,2,1,1,1,6,0
40,unknown,46,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,1,1,1,6,0
42,unknown,559,3,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,1,1,1,6,0
39,unknown,2033,1,0,1.1,93.994,-36.4,4.857,5191.0,7,0,3,0,0,1,1,1,6,0
37,no,85,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,1,0,0,1,1,1,6,0
38,no,506,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,2,1,1,1,6,0
56,unknown,114,2,0,1.1,93.994,-36.4,4.857,5191.0,0,0,7,0,0,1,1,1,6,0
40,no,114,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,0,0,1,1,1,6,0
54,no,843,2,0,1.1,93.994,-36.4,4.857,5191.0,4,0,6,2,0,1,1,1,6,0
43,unknown,181,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,3,0,2,1,1,1,6,0
36,unknown,427,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
45,no,292,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,2,2,1,1,1,6,0
42,unknown,192,1,0,1.1,93.994,-36.4,4.857,5191.0,0,2,6,0,0,1,1,1,6,0
43,no,93,3,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
46,no,128,2,0,1.1,93.994,-36.4,4.857,5191.0,4,1,2,0,0,1,1,1,6,0
44,no,107,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,2,1,1,1,6,0
51,no,303,2,0,1.1,93.994,-36.4,4.857,5191.0,0,2,1,0,0,1,1,1,6,0
28,no,81,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,0,1,1,1,6,0
37,no,270,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,1,1,1,6,0
34,no,228,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,3,0,0,1,1,1,6,0
46,unknown,240,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6,0
42,no,673,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,2,1,1,1,6,1
36,no,233,3,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
54,unknown,102,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
57,no,461,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,1,1,1,6,0
51,unknown,250,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,1,0,0,1,1,1,6,0
54,unknown,130,1,0,1.1,93.994,-36.4,4.857,5191.0,5,1,3,0,0,1,1,1,6,0
49,unknown,252,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
34,no,138,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
41,no,412,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,0,0,1,1,1,6,0
38,no,179,2,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,2,0,1,1,1,6,0
45,no,19,2,0,1.1,93.994,-36.4,4.857,5191.0,4,0,6,0,0,1,1,1,6,0
42,no,228,2,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,1,1,1,6,0
34,unknown,55,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,2,0,1,1,1,6,0
48,no,717,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
37,unknown,313,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,2,0,1,1,1,6,0
34,unknown,289,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,0,0,1,1,1,6,0
40,unknown,683,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,2,2,0,1,1,1,6,0
43,no,1077,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6,0
33,no,146,2,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
32,no,167,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,1,0,0,1,1,1,6,0
39,no,356,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,3,2,0,1,1,1,6,0
43,no,277,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,0,0,1,1,1,6,0
44,no,172,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,1,6,0
35,unknown,218,1,0,1.1,93.994,-36.4,4.857,5191.0,8,2,6,0,0,1,1,1,6,0
35,unknown,217,1,0,1.1,93.994,-36.4,4.857,5191.0,8,2,6,2,2,1,1,1,6,0
35,no,67,1,0,1.1,93.994,-36.4,4.857,5191.0,10,1,5,0,0,1,1,1,6,0
36,no,291,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,0,0,0,1,1,1,6,0
35,unknown,248,1,0,1.1,93.994,-36.4,4.857,5191.0,8,2,6,2,0,1,1,1,6,0
36,no,256,1,0,1.1,93.994,-36.4,4.857,5191.0,8,2,2,2,0,1,1,1,6,0
55,no,286,1,0,1.1,93.994,-36.4,4.857,5191.0,3,0,6,0,0,1,1,1,6,0
59,no,477,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,0,1,1,1,6,0
57,unknown,611,2,0,1.1,93.994,-36.4,4.857,5191.0,5,1,7,0,0,1,1,1,6,0
39,unknown,471,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,5,2,0,1,1,1,6,0
39,unknown,381,2,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,2,0,1,1,1,6,0
30,no,251,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,7,2,0,1,1,1,6,0
30,no,408,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,7,2,2,1,1,1,6,0
50,unknown,287,1,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,0,1,1,1,6,0
40,no,322,3,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
35,no,216,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,2,0,1,1,1,6,0
43,unknown,366,2,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,0,0,1,1,1,6,0
36,unknown,210,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,1,2,0,1,1,1,6,0
46,unknown,288,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,0,2,0,1,1,1,6,0
40,no,168,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,2,0,0,1,1,1,6,0
58,no,132,1,0,1.1,93.994,-36.4,4.857,5191.0,5,1,6,0,0,1,1,1,6,0
42,no,64,2,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,1,1,1,6,0
35,no,209,2,0,1.1,93.994,-36.4,4.857,5191.0,0,2,6,0,0,1,1,1,6,0
43,unknown,410,3,0,1.1,93.994,-36.4,4.857,5191.0,5,1,0,0,0,1,1,1,6,0
45,no,177,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,2,1,1,1,6,0
39,no,580,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,5,2,0,1,1,1,6,0
50,no,165,1,0,1.1,93.994,-36.4,4.857,5191.0,7,0,5,2,0,1,1,1,6,0
32,unknown,127,2,0,1.1,93.994,-36.4,4.857,5191.0,4,0,0,2,0,1,1,1,6,0
39,unknown,357,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,1,1,1,6,0
52,unknown,175,1,0,1.1,93.994,-36.4,4.857,5191.0,6,1,6,0,0,1,1,1,6,0
44,no,300,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,5,2,0,1,1,1,6,0
56,no,136,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
48,no,125,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,1,1,1,6,0
33,unknown,189,2,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,2,1,1,1,6,0
43,unknown,213,3,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,2,1,1,1,6,0
57,no,238,2,0,1.1,93.994,-36.4,4.857,5191.0,5,1,3,0,0,1,1,1,6,0
36,no,124,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,0,1,1,1,6,0
34,no,18,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,2,0,1,1,1,6,0
34,no,730,2,0,1.1,93.994,-36.4,4.857,5191.0,7,2,2,0,0,1,1,1,6,0
30,unknown,40,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,1,1,1,6,0
33,no,181,2,0,1.1,93.994,-36.4,4.857,5191.0,7,0,7,0,0,1,1,1,6,0
32,no,79,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,0,1,1,1,6,0
36,no,142,2,0,1.1,93.994,-36.4,4.857,5191.0,9,2,3,2,0,1,1,1,6,0
36,no,389,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,3,0,2,1,1,1,6,0
33,no,702,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,0,0,1,1,1,6,0
40,no,151,1,0,1.1,93.994,-36.4,4.857,5191.0,9,0,5,0,0,1,1,1,6,0
41,no,211,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
51,no,117,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,1,2,0,1,1,1,6,0
36,no,232,3,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,2,0,1,1,1,6,0
28,no,408,2,0,1.1,93.994,-36.4,4.857,5191.0,7,1,7,0,0,1,1,1,6,0
53,no,370,3,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,2,1,1,1,6,0
58,unknown,179,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,1,6,0
45,no,46,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,2,0,2,1,1,1,6,0
43,no,200,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,2,0,1,1,1,6,0
33,no,50,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,2,1,1,1,6,0
33,no,181,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,2,1,1,1,6,0
